"관광타입","음식점"
"음식점명","그린사이공 "
"개요","2016년 블루사이공, 2019년 그린사이공, 2021년 옐로우사이공, 2022년 레드사이공을 가족중심 직영운영체제로 한경면 신창과애월읍 상귀리 그리고 구제주 삼도동에운영합니다. 제주에 블루사이공을 처음 런칭한 부부가현재 그린사이공을 운영중이며 혈연과 지연의 패밀리가 각각의 컨셉으로 먹거리와 음료, 의류, 소품 등을 판매하는 스토어로블루, 옐로우, 레드를 운영합니다. 어느곳을 가더라도 같은 맛과 품질의 서비스를 받으실수 있도록 최선을 다하겠습니다. 신창초등학교, 신창풍차해안이 인접해 있습니다."
"주소","제주 제주시 한경면 두신로 38"
"주소(도로명)","제주특별자치도 제주시 한경면 두신로 38"
"주소(지번주소)","제주특별자치도 제주시 한경면 신창리 463-1"
"대표번호","064-773-1377"
"영업시간","11:30-16:00"
"휴무일","매주 일요일"
"취급메뉴","돼지BBQ바게트샌드위치, 햄에그바게트샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 매장이 청결해요"
