"관광타입","음식점"
"음식점명","짚불도 "
"개요","제주도하면 에메랄드빛바다, 맛있는흑돼지가 생각이 나지 아닐까 싶습니다. 2020년, 오픈한 짚불도는 낮에는 비양도를 바라보며 즐기실 수 있으며 해가 질 때 쯤이면 환상적인 노을을 보실 수 있습니다. 또한 짚불도는 최초로 흑돼지를 무공해 천연 제주 건초 목장에서 가지고온 짚으로 구워 제공해 드리고 있습니다. 야외 잔디 데크 단체석 완비, 애견동반 환영, 판포포구맛집, 협재맛집 짚불도 입니다. 메가리조트, CU편의점, 어울림마당, 해거름마을공원이 인접해 있습니다."
"주소","제주 제주시 한경면 판포1길 6 1층 12호"
"주소(도로명)","제주특별자치도 제주시 한경면 판포1길 6"
"주소(지번주소)","제주특별자치도 제주시 한경면 판포리 2872"
"대표번호","0507-1314-1919"
"영업시간","10:00/17:00-22:00"
"휴무일","매주 월요일"
"취급메뉴","흑돼지 된장국수, 특수부위 모듬"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
