"관광타입","음식점"
"음식점명","하하호호 "
"개요","2011년 시작한 하하호호는 흑돼지버거 원조 맛집입니다. 올리브tv 테이스티로드, 생생정보통 등 방송3사에서 찾아오셔서 출연하였습니다. 하하호호는 바다를 마주한 작은 카페입니다. 종달리를 마주 마고 있어 멀리 하도리 해안라인을 볼수 있고 아름다운 노을를 볼수 있습니다. 파도 소리와 잔잔한 음악과 맛있는 음료와 음식으로 마음을 힐링할수 있는 소박한 곳입니다. 창고였던 돌집을 부부가 직접 개조해 애정이 깊은 소중한곳입니다. 소중한곳인만큼 정성껏 맛있게 만들어 드립니다. 하하호호로 멋진 풍경과 맛있는 버거 드시러 오시기 바랍니다. 서빈백사장, 우도리조트, 주흥동방파제가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 532"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 532"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 859"
"대표번호","0507-1344-1365"
"영업시간","11:00-16:30"
"휴무일","전화문의"
"취급메뉴","구좌마늘 흑돼지버거, 우도땅콩 흑돼지버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요"
