"관광타입","음식점"
"음식점명","Jimmys natural icecream"
"개요","지미스 아이스크림 카페, 우도지미스보트, 수상, 레져, 2013 KBS생생정보통 미스터리 방영, 2014  SBS좋은아침 방영, 미녀들의수다 에바, 2014 KCTV 제주 나는골목의CEO다특집방영, 2015 KBS생생정보통 방영, 가나댁2018 A채널 24시관찰카메라 방영, 2018 KBS 그녀들의 여유만만 방영 했습니다. 우도저수지, 영일동포구가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 1132"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 1132"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 317-2"
"대표번호","010-9868-8633"
"영업시간","08:00-18:10"
"휴무일","없음"
"취급메뉴","원조우도땅콩아이스크림, 한라봉.천혜향아이스크림"
"주차시설 유무","있음"
"리뷰키워드","디저트가 맛있어요, 뷰가 좋아요, 특별한 메뉴가 있어요, 친절해요, 사진이 잘 나와요"
