"관광타입","음식점"
"음식점명","우도바당 "
"개요","오직 우도 해녀가 직접 잡아온 해산물들로만 요리하여신선하고 푸짐한 해물을 맛보실 수 있습니다. 또한, 귀한 생물 성게가 듬뿍 올라간 성게김밥은어디에서도 맛보실 수 없는 저희 우도바당만의 특별한 메뉴입니다. 포장도 가능하니, 우도에 오신다면 꼭 맛보시고 가시기 바랍니다. 영일동포구 바로 근처에 위치해 있으며, 가게 앞쪽에 주차가능합니다. 직접 잡은 귀한 해산물에 땅콩막걸리 한잔 하시기 바랍니다. 우도마을, 조일리사무소가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 1056"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 1056"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 295"
"대표번호","0507-1370-6564"
"영업시간","08:30/10:00-17:00/18:00"
"휴무일","전화문의"
"취급메뉴","성게김밥, 해물라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
