"관광타입","음식점"
"음식점명","안녕육지사람"
"개요","고객님들께 좋은 커피와 식사를 제공하고 편안한 휴식을 취할 수 있게 노력하겠습니다. 예약자 손님께서는 매장 입장 시 또는 결제 시 예약하셨다고 말씀해주시기 바랍니다. 단 천재지변으로 인하여 예약이 취소되거나 변경 될 수  있습니다. 이점 양해 바랍니다. 문의는 매장 070.4225.0170, 대표자 010.2823.0170로 문의주시기 바랍니다. 감사합니다. 오봉리사무소, 우도마을이 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 792"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 792"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 1197-4"
"대표번호","0507-1387-0186"
"영업시간","10:30-16:30"
"휴무일","없음"
"취급메뉴","땅콩 흑돼지버거, 크림치즈 흑돼지버거"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 디저트가 맛있어요, 친절해요"
