"관광타입","음식점"
"음식점명","회양과국수군 "
"개요","우도를 대표하는 No.1 우도 맛집 회양과국수군입니다. 우도를 찾으시는 분들께 꾸준한 사랑을 받아온 회양과국수군은 생생정보통, 슈퍼맨이 돌아왔다에 출연하면서 많은 분들께 알려진 곳입니다. 제주 바다의 싱싱한 맛을 그대로 전해주는 회양과국수군에서만 맛 볼 수 있는 돌문어해물탕 개운한 국물맛은 기본, 살아있는 돌문어 한 마리를 그대로 넣어주는 보는 재미까지 최고인 최고의 해물탕신선함에 상큼함이 더해진 회국수의 전설 새콤달콤 회국수그리고 방어철에만 맛 볼 수 있는 최고로 푸짐하고 싱싱한 방어회코스까지제주에서의 맛있는 추억을 남기게 해주는 No.1 우도 맛집 회양과국수군제주 여행 중 꼭 가봐야 할 곳으로 꼽히는 낭만이 가득한 아름다운 서빈백사해수욕장 옆에서저 멀리 성산일출봉과 한라산을 바라보며 풍류와 식도락을 함께 즐길 수 있는 곳제주에서의 아름다운 추억들에 맛있음을 더해 진정 소중한 추억들로 가득한 여행이 되도록 늘 싱싱하고 푸짐함으로 여러분을 맞겠습니다. 우도여행 중 꼭 들러야 할 No.1 우도 맛집 회양과국수군을 꼭 찾아주시기 바랍니다. 산호해수욕장, 서빈백사해수욕장, 하우목동항, 산호해수욕장 야영장, 서광리사무소가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 270"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 270"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 2473-9"
"대표번호","0507-1425-0150"
"영업시간","10:30-21:00"
"휴무일","없음"
"취급메뉴","돌문어해물탕, 회국수 "
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 뷰가 좋아요, 친절해요, 양이 많아요"
