"관광타입","음식점"
"음식점명","소섬전복 "
"개요","국내에서 나오는 전복으로만 요리하는 전복요리전문점입니다. 전복하면 비싸다는 이미지가 있는데 다른 전복요리전문점보다 저렴한 비용에 많은 양을 식사하고 가실 수 있고, 요리를 전공하신 사장님이 직접 요리하셔서 더욱 다양한 전복요리를 맛 보실 수 있습니다. 우도에 오셔서 통유리로 구성되어 있어 우도 바다를 한눈에 바라보면서 전망 좋은 집에서 식사하시고 좋은 추억 만들고 가시기 바랍니다. 영일동포구, 우도저수지가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 1158"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 1158"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 329"
"대표번호","064-782-0062"
"영업시간","09:00-20:00"
"휴무일","없음"
"취급메뉴","전복죽, 전복버터구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요"
