"관광타입","음식점"
"음식점명","공주네국수"
"개요","봉개동에 위치한 국숫집입니다. 한그릇 한그릇 정성껏 모시겠습니다. 제주시 착한가격업소 선정 업체, 착한가격업소는 가격, 품질, 위생 등이 지정기준을 충족하고, 현지실사 및 평가에서 적격여부 심사 등을 거쳐 제주도지사가 선정하는 업소입니다. 제주시에서 선정된 착한가격업소는 총 149곳이며, 저희 공주네국수도 착한가격업소로 선정되었습니다. NH.OIL농협주유소 제수시 농협동부주유소, 알뜰번영로 주유소가 인접해 있습니다."
"주소","제주 제주시 삼봉로 353"
"주소(도로명)","제주특별자치도 제주시 삼봉로 353"
"주소(지번주소)","제주특별자치도 제주시 봉개동 1815-1"
"대표번호","064-722-4533"
"영업시간","09:00-20:00"
"휴무일","매주 월요일"
"취급메뉴","멸치국수, 멸고국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 친절해요, 재료가 신선해요"
