"관광타입","음식점"
"음식점명","삼화가츠우동"
"개요","매일 교체되는 깨끗한 기름으로 정성스레 튀긴 바삭한 돈까스 맛보시기 바랍니다. 저희는 그 어떤 모든 것들, 소스부터 모든 것들이 수제입니다. 100퍼센트 수제, 영혼부터 뼈 속까지 수제, 두텁고 바삭한 환상의 돈까스 드시러 오시기 바랍니다. 가게 앞 주차 공간 없을 시 저희 건물 2에서 4층 이용하시면 편리하게 이용하실수있습니다. 주소 구 제주시 건주로 4길 34입니다. 맨드라미공원, 근린공원이 인접해 있습니다."
"주소","제주 제주시 건주로4길 34"
"주소(도로명)","제주특별자치도 제주시 건주로4길 34"
"주소(지번주소)","제주특별자치도 제주시 도련일동 1940-1"
"대표번호","0507-1441-5282"
"영업시간","11:00-20:30"
"휴무일","매주 일요일"
"취급메뉴","생등심돈까스, 카레돈까스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 혼밥하기 좋아요, 재료가 신선해요"
