"관광타입","음식점"
"음식점명","황금손가락 삼화점"
"개요","황금손가락삼화점, 초밥, 참치, 스시집 입니다. 저렴한 가격에 부담없이 고급초밥의 맛을 느낄 수 있는초밥, 스시전문점  황금손가락삼화점이 삼화지구에 open하였습니다. BreakTime 오후3시 부터 오후5시 입니다. 주말 브레이크타임 없습니다. 포장은 오후9시20분까지가능, 마지막주문 오후9시30분, 연중무휴, TAKE OUT 포장가능합니다. 포장시 소바 우동국물튀김이 같이 포장되며, 고급포장 도시락을 사용하여 선물용으로 좋습니다. 미리 전화주시면 정성을 다해준비하겠습니다. 메뉴모듬초밥, 특초밥, 황금초밥, 활어초밥, 참치,연어초밥, 참치모듬, 참다랑어뱃살, 모듬사시미, 새우튀김, 돈가스 등 낱개메뉴제외, 모든 메뉴 주문시 알밥, 튀김, 우동, 소바 낱개초밥 1인기준 10000원 이상시 서비스제공 합니다. 곶창포공원, 채송화공원이 인접해 있습니다."
"주소","제주 제주시 건주로4길 14-8"
"주소(도로명)","제주특별자치도 제주시 건주로4길 14-8"
"주소(지번주소)","제주특별자치도 제주시 도련일동 1940-3"
"대표번호","064-758-3388"
"영업시간","11:30-22:00"
"휴무일","매주 월요일"
"취급메뉴","황금초밥, 특초밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 가성비가 좋아요"
