"관광타입","음식점"
"음식점명","돈뜨락 "
"개요","맛으로 소문난 저희 돈뜨락은 남녀노소 누구나 부담없이 즐기실 수 있는 외식 공간으로 언제나 제주 축협에서 직송되는 좋은 고기만을 엄선해 믿고 드실 수 있습니다. 위생, 청결 및 서비스 향상을 위해 항상 노력하고 찾아주시는 고객분들을 늘 한결같은 마음으로 맞이하겠습니다. 영양만점, 든든한 한끼의 식사자리, 가족, 연인, 친구들과의 모임, 단체회식 등 각종 모임과 잘 어울리는 돈뜨락에서 맛있는 즐거움을 남겨보시기 바랍니다. 언제나 정성으로 최고의 맛을 드리겠습니다. 감사합니다. CU, 남가네설악추어탕이 인접해 있습니다."
"주소","제주 제주시 도련길 10"
"주소(도로명)","제주특별자치도 제주시 도련길 10"
"주소(지번주소)","제주특별자치도 제주시 도련일동 1672-1"
"대표번호","064-723-9233"
"영업시간","11:00-22:00"
"휴무일","매주 일요일"
"취급메뉴","흑돼지 오겹살, 흑돼지 두루치기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 친절해요, 가성비가 좋아요"
