"관광타입","음식점"
"음식점명","샐러데이즈 제주삼화점"
"개요","단순한 한끼 또는 허전함을 달래는 간식이 아닌 달콤하고 건강한 포만감을 연구하는 샐러데이즈 제주 삼화점 입니다. 늘 좋은 하루 되시고 건강 하시기 바랍니다. 가격등록은 일괄적인 부분으로 매장마다 상이할 수 있습니다. 샐러데이즈는 유기농 친환경 인증을 받은 야채를 사용합니다. 청로메인, 적근대, 치커리에 한합니다. 항상 신선한 재료로 건강한 샐러드를 제공 하겠습니다. 맨드라미공원, 오름중학교가 인접해 있습니다."
"주소","제주 제주시 삼봉로2길 62 1층"
"주소(도로명)","제주특별자치도 제주시 삼봉로2길 62"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2171-10"
"대표번호","0507-1403-1229"
"영업시간","10:00-15:00/20:00"
"휴무일","매주 일요일"
"취급메뉴","단팥죽, 떡갈비 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","재료가 신선해요, 음식이 맛있어요, 친절해요, 매장이 청결해요, 양이 많아요"
