"관광타입","음식점"
"음식점명","후년하우스"
"개요","돼지고기와 소고기 샤브샤브도 판매하지만 말고기 샤브샤브로 더 유명한 곳입니다. 흔히 맛보기 힘든 말고기를 후년하우스만의 비법으로 만든 육수에 익혀 먹는 메뉴입니다. 낯선 메뉴라 선뜻 주문하기가 망설여지던 손님들이 다시 찾는 맛집입니다. 제주도에서 재배한 야채로 직접 만든 수제비와 라면, 우동사리가 무한리필입니다. 배달, 포장 가능합니다. 롯데시네마, 감동까스, 엔제리너스가 인접해 있습니다."
"주소","제주 제주시 삼봉로 12"
"주소(도로명)","제주특별자치도 제주시 삼봉로 12"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2181-19"
"대표번호","0507-1389-9292"
"영업시간","10:00/17:00~22:00"
"휴무일","전화문의"
"취급메뉴","돼지고기, 오리고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요, 친절해요"
