"관광타입","음식점"
"음식점명","마이마이버거"
"개요","제주 삼화에 새로 오픈한 수제버거 전문점입니다. 1. 배민 리뷰 한달만에 검증된 삼화 최고 수제버거집 입니다. 2. 100프로 소고기와 수제빵으로 하나하나 정성스럽게 만듭니다. 3. 많다못해 넘치는 육즙, 삼화주민 여러분들께서 확인해주셨습니다. 4. 오픈주방으로 청결함과 신뢰도를 높혔습니다. 5. 프렌차이즈들과는 차원이 다른 퀄리티, 주문 즉시 조리하는 시스템 입니다. 빽다방, 육장갈비가 인접해 있습니다."
"주소","제주 제주시 화삼북로 139 103호"
"주소(도로명)","제주특별자치도 제주시 화삼북로 139"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2332-6"
"대표번호","0507-1324-3499"
"영업시간","11:00~22:50"
"휴무일","매주 화요일"
"취급메뉴","오리지널버거, 베이컨치즈버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 혼밥하기 좋아요"
