"관광타입","음식점"
"음식점명","자가제빵 선명희피자 제주삼양화북점"
"개요","자가제빵 선명희 피자는2006년 수제치즈바이트 전문점인 정통손피자로 시작하여 고객님의 입맛과 건강, 가격까지 만족시켜드릴 피자를 만들기 위해 노력하여 빵이 맛있는 최고의 가성비 피자로 고객님의 입맛을 사로잡았습니다. 신선한 과일 액기스와 토마토홀로 제조한 특제 베이스 소스와 100프로 자연산 모짜렐라 치즈가 가득 들어있어 훌륭한 베이스를 푸짐하게 제공해드립니다. 빵은 쫄깃쫄깃, 토핑은 듬뿍듬뿍 최고의 가성비 피자 선명희피자 입니다. 팔공티, 해동분식이 인접해 있습니다."
"주소","제주 제주시 일주동로 372"
"주소(도로명)","제주특별자치도 제주시 일주동로 372"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2180-3"
"대표번호","064-721-3003"
"영업시간","11:00-23:00"
"휴무일","없음"
"취급메뉴","직화매운갈비피자, 반반한피자"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 양이 많아요"
