"관광타입","음식점"
"음식점명","지지지제주흑돼지"
"개요","제주공항근처 연동에 위치한 지지지제주흑돼지입니다. 제주청정 신선한 흑돼지를 2주간 저온 숙성시켜 더욱 부드럽고 풍미 좋은 맛을 느끼실 수 있습니다. 또한 매장 전체가 폴딩도어로 되어 있어 날씨가 좋은 날이면 모든 문을 열어놓고 영업을 하여 냄새는 물론 코로나 걱정인 요즘 시대에 환기가 잘되어 더욱 안심하고 식사를 즐기실 수 있습니다. 지지지 매장 가운데 아이들이 뛰어놀 수 있는 넓은 정원이 있어 눈과 입이 호강하는 지지지제주흑돼지입니다. 항상 고객님을 정성껏 모시는 지지지제주흑돼지가 되겠습니다. 외갓집, 대박국수가 인접해 있습니다."
"주소","제주 제주시 신대로 104 1층"
"주소(도로명)","제주특별자치도 제주시 신대로 104"
"주소(지번주소)","제주특별자치도 제주시 연동 302-3"
"대표번호","0507-1401-7222"
"영업시간","17:00~22:30"
"휴무일","전화문의"
"취급메뉴","숙성흑돼지오겹살, 숙성흑돼지목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 친절해요, 매장이 청결해요, 재료가 신선해요"
