"관광타입","음식점"
"음식점명","고기역"
"개요","안녕하세요. 제주 흑돼지 참숯초벌전문 제주 연동 흑돼지 맛집 고기역입니다. 저희 고기역은 제주도 청정지역에서 자란최상급 돼지만을 고집하고 사용하며, 항상 고기의 깊은 풍미와 좋은 서비스를 제공하기위해 노력하고 있습니다. 고기역만의 에이징 기법과 참숯 초벌 시이루어지는 시즈닝으로 남다른 고기 맛을느끼실 수 있습니다. 제주 연동 맛집 고기역에 방문하시어입도 기분도 즐거운 식사시간 되시기 바랍니다. GS25, 프렌즈가 인접해 있습니다."
"주소","제주 제주시 국기로1길 4"
"주소(도로명)","제주특별자치도 제주시 국기로1길 4"
"주소(지번주소)","제주특별자치도 제주시 연동 1484"
"대표번호","0507-1356-5049"
"영업시간","16:00~23:00"
"휴무일","매주 일요일"
"취급메뉴","흑오겹, 오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 고기 질이 좋아요"
