"관광타입","음식점"
"음식점명","완미족발 제주연동점"
"개요","상다리 부러지는 남도식 한상족발, 족발오마카세를 맛볼 수 있는 완미족발입니다. 신선하고 맛있는 족발과 다양한 구성의 밑반찬을 제공하고 있습니다. 고급파인다이닝에서나 볼 수 있었던 고급 명란쌈장부터 신선함을 느끼게 해주는 파숙지에 돌돌말아 남도의 향기, 족발과 초밥의 환상적인 조합까지, 족발과 16가지 곁들임으로 새로운 맛으로 즐길 수 있게 준비했습니다. 새로운 맛의 족발을 맛보고 싶으시다면 꼭 저희 완미족발을 방문해주세요. 용용선생, GS25가 인접해 있습니다."
"주소","제주 제주시 은남4길 46"
"주소(도로명)","제주특별자치도 제주시 은남4길 46"
"주소(지번주소)","제주특별자치도 제주시 연동 273-58"
"대표번호","064-749-2202"
"영업시간","17:00~01:00"
"휴무일","전화문의"
"취급메뉴","매운족발, 마라족발"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 매장이 넓어요, 재료가 신선해요, 단체모임 하기 좋아요"
