"관광타입","음식점"
"음식점명","더시그니처 이자카야"
"개요","예약 시간은 18시 에서 21시만 가능하며, 테라스 이용은 예약제가 아닌 선착순임을 미리 고지드립니다. 조리가 아닌 요리를 하고 싶습니다. 음식의 맛은 신선한 재료에서 나온다고 하여도 과언이 아니기에 매일 신선한 재료를 장을 보고 미리 조리해놓는 것이 아닌 그때 그때 바로 음식을 만들어 손님께 최상의 맛을 내드리려 늘 노력합니다. 저희 가게의 맛을 좋아하여 찾아주시는 손님들이 있기에 저희도 존재한다고 생각합니다. 귀한 발걸음 헛되다고 생각 들지 않게 최선을 다하겠습니다. 따로 제공되는 주차공간은 없으나 도보로 3분거리에 신제주 공영주차장이 있으며 22시 이후로는 대로변에도 주차 가능합니다. 죠스떡볶이, CU가 인접해 있습니다."
"주소","제주 제주시 신광로 47"
"주소(도로명)","제주특별자치도 제주시 신광로 47"
"주소(지번주소)","제주특별자치도 제주시 연동 273-1"
"대표번호","0507-1359-6635"
"영업시간","18:00-01:30"
"휴무일","매주 화요일"
"취급메뉴","연어사시미, 모듬초밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 술이 다양해요, 매장이 청결해요, 인테리어가 멋져요"
