"관광타입","음식점"
"음식점명","명호마농갈비 연동본점"
"개요","저희집은 오직 1플러스 등급이상의 제주산한우짝갈비만을 판매합니다. 한우짝갈비란, 한우 양쪽 갈비대를 말하며, 발골 과정중 가장 까다롭지만 최상의 맛을 가진, 갈빗살, 업진살, 살치살, 안창살을 포함하고있습니다. 안창살만 따로팔고, 나머진 다 그냥 썰어드리겠습니다. 작업량과 가격에 비해 낮은 판매수율을 가진 짝갈비는 일반적으로, 높은 가격에 판매되지만, 명호갈비에서는, 반찬간소화, 직접발골, 손질을 통한 비용 절감으로 1플러스 등급이상의 신선한 한우짝갈비를 부담없는 가격에, 제공할것을 약속드립니다. 제주국담, 낙지친구, 시골길이 인접해 있습니다."
"주소","제주 제주시 신대로12길 15 1층 명호마농갈비"
"주소(도로명)","제주특별자치도 제주시 신대로12길 15"
"주소(지번주소)","제주특별자치도 제주시 연동 292-57"
"대표번호","0507-1463-8986"
"영업시간","13:00~23:00"
"휴무일","전화문의"
"취급메뉴","마농갈비, 안창살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
