"관광타입","음식점"
"음식점명","돈나무흑돼지"
"개요","돈나무는 100프로 제주산 25 에서 30일 동안 저온숙성한 1등급고기만 사용합니다. 숙성하면 고기의 근육이 풀어지기때문에 더욱 부드럽고 연하고 맛도 더 좋아지고 원래의 맛과 또 다른맛 풍미까지 더해져 고소하면서 감칠맛이 더욱 뛰어납니다. 제주산 흑돼지는 제주청정지역에서 자라 잡내도 없고 육즙이 풍부하고 쫄깃쫄깃합니다. 맛있는 흑돼지를 참숯불로 구워서 향도 좋고 고기맛도 휠씬 좋습니다. 인테리어는 깔끔하고 매장도 넓고 고급스러워서 각종 모임으로는 최고의 장소입니다. 영덕대게마을, 라움호텔이 인접해 있습니다. 비어제이, CU가 인접해 있습니다."
"주소","제주 제주시 신광로10길 3"
"주소(도로명)","제주특별자치도 제주시 신광로10길 3"
"주소(지번주소)","제주특별자치도 제주시 연동 265-2"
"대표번호","0507-1447-7992"
"영업시간","14:00~01:00"
"휴무일","없음"
"취급메뉴","숙성흑돼지모듬, 흑돼지오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 매장이 청결해요"
