"관광타입","음식점"
"음식점명","모니카옛날통닭"
"개요","매일 깨끗한 새기름으로 24시간 양념숙성한 닭을 튀기는 모니카옛날통닭입니다. 고추야채치킨은 매콤한 청양고추와 야채를 튀김옷에 입혀서튀긴 치킨입니다. 공지입니다. 안녕하세요. 모니카 옛날통닭입니다. 최근에 방영된 방송과 관련해 저희 가게 차원에서 해당 방송사에 광고나 홍보를 목적으로 방송을 요청한 사실이 없음을 우선 알려드립니다. 예상못한 상황에 대비가 어려웠기에 대기시간이 늘어난점 진심으로 죄송합니다. 제44호어린이공원, 남자반점, CU가 인접해 있습니다."
"주소","제주 제주시 도령로13길 16-3 1층 모니카옛날통닭"
"주소(도로명)","제주특별자치도 제주시 도령로13길 16"
"주소(지번주소)","제주특별자치도 제주시 연동 2330-2"
"대표번호","064-747-6801"
"영업시간","16:00~23:00"
"휴무일","매주 화요일"
"취급메뉴","고추야채치킨, 후라이드치킨"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 재료가 신선해요, 양이 많아요"
