"관광타입","음식점"
"음식점명","오지하우스 신제주점"
"개요","오지하우스는 Aussie는 호주사람,  House는 집 입니다. 호주사람의 집이라는 의미로서 호주에 위치한 도시 퍼스의 머독이란 마을에서 열린 오지하우스파티를 시작으로 2016년 서울 여의도 한복판에 호주식당이라는 이름으로 만들어 졌습니다. 집에 모여 준비한 음식을 와인과 맥주와 함께 나누는 오지하우스의 파티를 더 많은 분들과 함께 하고 싶습니다. 올리브영, 카페봄봄이 인접해 있습니다."
"주소","제주 제주시 월랑로 43 1층"
"주소(도로명)","제주특별자치도 제주시 월랑로 43"
"주소(지번주소)","제주특별자치도 제주시 노형동 2581-2"
"대표번호","064-743-2153"
"영업시간","17:00~01:00"
"휴무일","없음"
"취급메뉴","딥디쉬피자, 딥디쉬치킨"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 친절해요, 양이 많아요"
