"관광타입","음식점"
"음식점명","더회전훠궈"
"개요","분위기있고 깔끔한 가성비 대형 회전훠궈 샤브 매장입니다. 회전하고 있는 식재료를 앉으신 곳에서 깔끔한 용기로 서비스 받으실 수 있습니다. 다양한 해산물, 당면, 버섯 ,육류가 종류에 관계없이 접시당 1200원, 탕 기본 세팅비 2000원입니다. 소다음료와 소스는 무료입니다. 항상 매장내 청결을 위해 노력하고 있습니다. SK삼화석유승민주유소, 규태네양곱창이 인접해 있습니다. CU, 코알라가 인접해 있습니다."
"주소","제주 제주시 노연로 55 2층"
"주소(도로명)","제주특별자치도 제주시 노연로 55"
"주소(지번주소)","제주특별자치도 제주시 노형동 917-10"
"대표번호","0507-1328-6511"
"영업시간","11:00~22:00"
"휴무일","매주 목요일"
"취급메뉴","훠궈, 양고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 혼밥하기 좋아요, 친절해요, 매장이 넓어요"
