"관광타입","음식점"
"음식점명","숙성도 노형본관"
"개요","안녕하세요. 제주 숙성도입니다. SBS 스페셜 539회2019 돼지의 품격에 출연한 대한민국 돼지의 정점제주 숙성도 입니다. 오직 숙성도에서만 맛보실 수 있는품격 있는 숙성의 맛을 느껴 보시기 바랍니다. 감사합니다. 단체안내, 숙성도를 방문해주셔서 감사합니다. 6인이상 방문객분들은 매장이 협소하고 테이블 수가 적은 관계로 안내 받으실때 연결되지 않은 테이블로 배정받아 따로 앉으실 확률이 높습니다. 대기등록 전에 참고해주시면 감사하겠습니다. 녹두네, 서자매김밥이 인접해 있습니다."
"주소","제주 제주시 원노형로 41"
"주소(도로명)","제주특별자치도 제주시 원노형로 41"
"주소(지번주소)","제주특별자치도 제주시 노형동 941-2"
"대표번호","0507-1335-5211"
"영업시간","11:30~22:00"
"휴무일","없음"
"취급메뉴","교차숙성흑돼지, 720숙성삼겹"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 매장이 넓어요"
