"관광타입","음식점"
"음식점명","불타는여고24시떡볶이 외도점"
"개요","안녕하세요. 외도점에 새롭게 오픈한  불타는여고24시떡볶이 외도점입니다. 저희 매장을 이용해 주셔서 감사합니다. 항상 좋은 맛과 친절함을 드리기 위해 많은 노력을 하고 있습니다. 앞으로도 고객님들의 관심과 사랑에 보답하기 위해 더 좋은 맛과 서비스를 제공해드릴 것을 약속드리며 최상의 맛과 친절함을 드리는 불타는여고24시떡볶이 외도점이 되겠습니다. 감사합니다. 드림약국, 해청수산이 인접해 있습니다."
"주소","제주 제주시 우정로 63"
"주소(도로명)","제주특별자치도 제주시 우정로 63"
"주소(지번주소)","제주특별자치도 제주시 외도일동 548-4"
"대표번호","064-713-0925"
"영업시간","11:00~24:00"
"휴무일","없음"
"취급메뉴","로제떡볶이, 불여시떡볶이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 가성비가 좋아요, 혼밥하기 좋아요"
