"관광타입","음식점"
"음식점명","외도그린포크 정육식당"
"개요","제주공항 근처 흑돼지 가격이 가장 저렴하고 푸짐한 상차림을 자랑하는 제주 외도 도민맛집입니다. 정육점을 같이 운영하기에 합리적인 가격으로 제주산 흑돼지를 가성비 좋게 제공해 드리고 있습니다. 제주흑돼지 가격이 200g에 14000원으로 푸짐하게 드실 수 있습니다. 어머니 손맛으로 탄생한 된장찌개, 제주 몸국이 값싸고 맛있습니다. 포장도 가능합니다. 제주흑돼지 드시고 볶음밥은 치즈도 듬뿍 들어가서 꼭 드셔보시길 추천합니다. 항상 최고 품질의 제주흑돼지를 값싸게 부담없이 드실 수 있도록 최선을 다하는 외도 그린포크이 되겠습니다. 신협, 하나가 인접해 있습니다."
"주소","제주 제주시 우정로11길 9"
"주소(도로명)","제주특별자치도 제주시 우정로11길 9"
"주소(지번주소)","제주특별자치도 제주시 외도일동 527-10"
"대표번호","0507-1369-6589"
"영업시간","15:00~22:00"
"휴무일","매주 화요일"
"취급메뉴","제주흑돼지 오겹살 목살, 제주산 흑돼지 모듬"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
