"관광타입","음식점"
"음식점명","밥장인돼지찌개 제주외도점"
"개요","안먹어본 사람은 있어도 한번만 먹은 사람은 없다. 누구에게든 자신있게 추천합니다. 꼭 방문해보세요. 특허 소스로 만든 원조 짜글이 돼지찌개 입니다. 정말 맛있습니다. 돼지찌개란 국물이 자작한 짜글이 찌개로 반찬과 함께 비빔밥처럼 비벼먹는 최고의 밥도둑입니다. 식사는 때우는게 아니라 하는 겁니다. 한 끼라도 든든하게 하세요. 미리 말씀 주시면, 편안한 식사 자리가 되도록 최선을 다하여 준비해 드리겠습니다. 봄소풍김밥, GS25가 인접해 있습니다."
"주소","제주 제주시 우정로4길 4"
"주소(도로명)","제주특별자치도 제주시 우정로4길 4"
"주소(지번주소)","제주특별자치도 제주시 외도일동 418-6"
"대표번호","0507-1397-9991"
"영업시간","09:00~21:00"
"휴무일","매주 월요일"
"취급메뉴","비건 감자찌개, 김치찌개"
"주차시설 유무","있음"
"리뷰키워드","친절해요, 음식이 맛있어요, 혼밥하기 좋아요, 매장이 청결해요, 메뉴 구성이 알차요"
