"관광타입","음식점"
"음식점명","조근아지망식당 "
"개요","안녕하세요. 갈치조림 전문점, 조근아지망 식당입니다. 조근 아지망이란 제주어로 작은 아줌마를 뜻합니다. 손은 작아도 손맛 만큼은 자신있는 제주 아줌마가 정성껏 제주음식을 그릇에 담습니다. 갈치조림, 고등어조림을 메인으로 옥돔구이, 갈치구이, 고등어구이, 전복해물뚝배기, 한치, 돼지고기두루치기, 성게미역국, 보말미역국, 등 한식의 진수를 보여드리겠습니다. 대봉식당, 롯데리아가 인접해 있습니다."
"주소","제주 제주시 우정로 2"
"주소(도로명)","제주특별자치도 제주시 우정로 2"
"주소(지번주소)","제주특별자치도 제주시 외도일동 418-11"
"대표번호","064-711-1199"
"영업시간","07:30 - 21:30"
"휴무일","없음"
"취급메뉴","갈치조림, 고등어조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 혼밥하기 좋아요"
