"관광타입","음식점"
"음식점명","제주해물밥 "
"개요","싱싱한 제주바다를 온전히 밥상에서 만날 수 있는 식당전복, 돌문어, 뿔소라, 전복, 홍해삼 같은 제주의 해산물를 숙성한 후 특허받은 해물소스에 청정 가파도의 해초를 얹어 낸 제주해물밥은 특히 별미 입니다. 1박2일에도 등장한 용궁조림, 그리고 가파도 성게만 올려 내놓는 성게밥, 전복과 성게를 듬뿍 넣어 끓인 전복성게미역국, 옥돔이나 우럭을 구워 내놓는 생선구이 등의 음식도 입에 착 감깁니다. 자인펜션, 그럼외도가 인접해 있습니다."
"주소","제주 제주시 월대3길 14-6"
"주소(도로명)","제주특별자치도 제주시 월대3길 14-6"
"주소(지번주소)","제주특별자치도 제주시 외도이동 313-1"
"대표번호","064-746-5755"
"영업시간","10:00~15:00/20:00"
"휴무일","넷째 월요일"
"취급메뉴","전복한치물회, 제주해물밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요"
