"관광타입","음식점"
"음식점명","외도 신대박횟집 "
"개요","제주 오션뷰 횟집 신대박횟집 입니다. 1. 신대박횟집은 분점 없이 외도본점으로 운영됩니다. 2. 넓은 통유리로 낮에는 아름다운 푸른 바다를 볼 수 있고, 노을지는 해질녘에는 붉은 노을을 보며 회를 즐길 수 있습니다. 3. 점심으로는 게우밥 특선을 추천합니다. 돌솥게우밥과 회, 생선구이, 게장을 한번에 즐기실 수 있습니다. 4. 활어회 전문점으로 제주 바다에서 잡은 싱싱한 제철 회를 주문하는 즉시 잡아드립니다. 외도339, 롯데리아가 인접해 있습니다."
"주소","제주 제주시 일주서로 7353"
"주소(도로명)","제주특별자치도 제주시 일주서로 7353"
"주소(지번주소)","제주특별자치도 제주시 외도이동 338-1"
"대표번호","0507-1380-0169"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","게우밥 점심특선, 모듬물회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 매장이 넓어요"
