"관광타입","음식점"
"음식점명","해양호식당"
"개요","회 전문점 해양호식당입니다. 저희는 올바른 마음가짐으로 신선한 재료와 질 좋은 회만을 고집하여 정성껏 준비하고 있습니다. 최고가 되기 위해서 항상 최선을 다하며 찾아주시는 고객님들을 밝은 미소 맞이하여 친절함으로 더 가까이 다가가고 있습니다. 저렴한 가격, 편안한 분위기, 해양호식당만의 깊고 풍부한 맛, 품위 있는 만남 오셔서 직접 느껴보시기 바랍니다. 제주살래, 마스터수산이 인접해 있습니다."
"주소","제주 제주시 일주서로 7620"
"주소(도로명)","제주특별자치도 제주시 일주서로 7620"
"주소(지번주소)","제주특별자치도 제주시 이호이동 781-2"
"대표번호","064-743-2706"
"영업시간","11:30 - 23:00"
"휴무일","없음"
"취급메뉴","다금바리, 돌돔"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 양이 많아요"
