"관광타입","음식점"
"음식점명","제주하르방과자"
"개요","제주도를 찾아주신 여러분 반갑습니다. 저희는 제주도 동문시장 내에 위치한 제주 하르방과자입니다. 저희는 하르방 과자는 제주 특산품인 한라봉을 통째로 갈아 넣은 과자로 한라봉 풍미가 한가득하고 주원료가 한라봉이라 건강한 맛을 느끼게 해주는 제과입니다. 저희 업소는 방부제나  색소, 첨가제는 전혀 안 들어간 건강 간식으로 남녀노소 할 것 없이 누구나 좋아할 만한 간식이기도 하고 제주도에 방문하신 손님들이 선물용으로도 많이들 사가십니다. 전국 택배도 가능하니, 제주도 향이 물씬 나는 하르방 모양의 빵과자 안에서 제주에만 있는 한라봉을 통째 갈아서 만든 백앙금으로 적당히 달달한 맛을 느껴보십시오. 간식으로 먹어도 좋지만 선물용으로도 너무나 좋아할 제주도 선물이 될 것입니다. 제주 하르방과자에서만 만드는 특허 상품이니, 다른 업체랑 헷갈리지 마셔요. 제주 하르방과자는 제주 동문시장 내에 위치하고 있으며, 하르방과자 외에도 원물 100퍼센트의 한라봉 원액주스, 청귤 원액주스, 천혜향 원액주스도 꼭 맛보고 가셔요. 저렴한 가격으로 제주도 만의 특색 있는 간식, 브런치로 제격입니다. 문빵9 동문시장점, 하태카레가 인접해 있습니다."
"주소","제주 제주시 동문로 6-8"
"주소(도로명)","제주특별자치도 제주시 동문로 6-8"
"주소(지번주소)","제주특별자치도 제주시 일도일동 1482-1"
"대표번호","064-724-8088"
"영업시간","07:30 - 20:30"
"휴무일","없음"
"취급메뉴","하르방과자, 청귤 원액쥬스"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 음료가 맛있어요"
