"관광타입","음식점"
"음식점명","준호식당"
"개요","안녕하십니까. 저희 준호식당을 찾아주시는 고객분들께 저희 준호식당만의 맛을 전해 드리고자 노력하고 있습니다. 음식의 맛은 무엇보다도 음식 재료의 품질과 음식 조리에 있을 것입니다. 저희 준호식당은 늘 엄선된 음식 재료만을 사용하여 고객 여러분께 믿고 신뢰할 수 있는 음식이 될 수 있도록 하고 있으며, 어머니의 손맛과도 같은 정갈한 음식 조리로써 고객 여러분께 행복의 맛을 전해 드리려 하고 있습니다. 타 매장과는 다른 저렴한 음식값으로 부담 없이 저희 매장에 오실 수 있도록 배려하고 있습니다. 오시는 고객 여러분께 보답하고자 항상 온 힘을 다하는 서비스를 제공하겠습니다. 맛의 진미를 저희 준호식당에서 느껴보세요. 고객 여러분께 친절한 미소를 잃지 않는 준호식당이 될 것을 약속드립니다. 감사합니다. 제주아이드림, 장인오메기떡방이 인접해 있습니다."
"주소","제주 제주시 동문로4길 17-2"
"주소(도로명)","제주특별자치도 제주시 동문로4길 17-2"
"주소(지번주소)","제주특별자치도 제주시 일도일동 1102-43"
"대표번호","064-756-3252"
"영업시간","08:30 - 22:00"
"휴무일","없음"
"취급메뉴","순대국밥, 족발"
"주차시설 유무","있음"
"리뷰키워드","없음"
