"관광타입","음식점"
"음식점명","두찜 제주일도점"
"개요","대한민국에서 찜닭 한 마리 가격에 두 마리를 주는 곳은 두찜 뿐입니다. 맵기는 입맛에 따라 1단계부터 5단계까지 선택할 수 있습니다. 두찜은 주문 접수 후 조리되기에 조리 시간은 20분이 소요됩니다. 배달이 조금 늦어지더라도 배달기사분의 안전을 위해서 너그럽게 이해해 주시면 감사하겠습니다. 고객님의 부담을 덜어드리기 위해 저렴한 가격으로 맛 좋은 찜닭을 한 마리 가격에 두 마리를 제공하고 있으니, 맛있게 드시고 또 찾아주세요. 피맥데이, 제주아라투어가 인접해 있습니다."
"주소","제주 제주시 고마로 90"
"주소(도로명)","제주특별자치도 제주시 고마로 90"
"주소(지번주소)","제주특별자치도 제주시 일도이동 378-3"
"대표번호","064-751-8259"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","로제닭발, 로제찜닭"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 매장이 청결해요, 친절해요"
