"관광타입","음식점"
"음식점명","오만정성 제주협재점"
"개요","안녕하세요. 제주 한식당 오만정성입니다. 저희 매장은 브레이크 타임이 없습니다. 정기휴일을 제외하고는 언제든 편하게 방문해 주세요. 또한 배달의민족, 포장 주문 가능하시니 어려움 없이 주문해 주시면 감사하겠습니다. 예약도 가능하니 매장으로 전화 주시면 안내해 드리겠습니다. 오만정성을 찾아주셔서 정말 진심으로 고맙습니다. 찾아주신 모든 분들께 오만정성으로 보답하겠습니다. 한림리조트제3주차장, 한림리조트가 인접해 있습니다."
"주소","제주 제주시 한림읍 일주서로 5083"
"주소(도로명)","제주특별자치도 제주시 한림읍 일주서로 5083"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1087"
"대표번호","0507-1328-5083"
"영업시간","10:00 - 22:00"
"휴무일","매주 화요일"
"취급메뉴","해물전골, 제주흑돼지 김치전골"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
