"관광타입","음식점"
"음식점명","제주도 해녀세자매"
"개요","제주 향토 음식점입니다. 비양도에서 외할머니부터 물질을 시작해 현재 어머니와 이모님들이 물질을 하고 있으며, 해녀 세 자매가 비양도 앞바다에서 직접 잡은 해산물, 선장 아버지가 제주 바다에서 직접 어획한 갈치로 건강하고 맛있는 음식을 요리하는 한림항 근처 식당입니다. 통갈치조림, 통갈치 구이, 해물탕, 제주 향토 음식 몸국, 제철 물회, 옥돔구이, 성게미역국 등 다양한 제주 향토 음식을 드실 수 있습니다. 어렸을 적 할머니와 어머니가 해주시던 음식 그대로 제주도 다운 음식을 제공하며, 정성을 다해 모시겠습니다. 한라모텔, 착한가게가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로3길 10-11"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로3길 10-11"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1589-9"
"대표번호","064-796-0055"
"영업시간","09:00 - 20:50"
"휴무일","공휴일"
"취급메뉴","해물탕, 통갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 특별한 메뉴가 있어요"
