"관광타입","음식점"
"음식점명","둘레길 협재 금능점"
"개요","안녕하세요. 금능해수욕장의 우수한 뷰를 보며 즐겁게 식사할 수 있는 뷰 맛집 둘레길 협재 금능점에서 인사드립니다. 사진 한 장으로 모든 것이 설명되는 둘레길 협재 금능점은 날씨에 상관없이 식사를 하실 수 있도록 준비되어 있습니다. 덕분에 비가 와도 눈이 와도 항상 이쁘고 멋진 제주도의 앞바다를 고스란히 감상하며 힐링할 수 있는 시간을 가질 수 있지요. 매장에서 사용되는 재료들은 모두 제주도에서 나고 자란 것을 사용하여 신선하면서도 양질의 퀄리티를 자랑하는데요. 대표 메뉴인 오믈렛은 적당한 지방기의 흑돼지와 김치볶음밥, 숙성 계란 옷과 새우 소스까지 들어가 비주얼부터 남다른 모습을 자아냅니다. 그 외에도 매콤 크림 파스타, 고사리 봉골레 파스타, 흑돼지 가츠 산도, 가지 토마토 파스타, 바질 파스타, 흑돼지 햄버거 등 제주 토속 재료를 사용한 요리가 다양하게 준비되어 있습니다. 음료 또한 레드 와인이 들어간 향긋한 와인 에이드부터 한라산. 제주 위트 에일 등 다양한 주류가 준비되어 있으며 차를 갖고 오셨거나 술을 못하시는 분들을 위해 논알콜 음료도 판매 중이니 분위기에 따라 다양하게 즐길 수 있습니다. 매장은 오픈 키친으로 항상 청결과 위생에 포커스를 맞추고 운영하고 있어 깔끔한 매장 분위기를 알 수 있습니다. 거기다 모던한 인테리어로 홀이 꾸며져 있어 제주 감성에 모던함까지 한 스푼 더했지요. 지금여기에, 밋더피쉬가 인접해 있습니다."
"주소","제주 제주시 한림읍 금능길 79"
"주소(도로명)","제주특별자치도 제주시 한림읍 금능길 79"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1420"
"대표번호","0507-1310-1641"
"영업시간","09:30 - 21:00"
"휴무일","없음"
"취급메뉴","제주 흑돼지 오믈렛, 고사리 봉골레 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요"
