"관광타입","음식점"
"음식점명","제주홍돈 협재본점"
"개요","안녕하세요. 저희 제주 홍돈은 협재해수욕장과 금능해수욕장, 한림공원 유명한 관광명소 부근에 위치해 있습니다. 손님들이 협재해수욕장 맛집, 금능해수욕장 맛집 등으로 많이들 찾아주십니다. 협재해수욕장에서 거리도 5분밖에 걸리지 않아 쉽게 방문 가능합니다. 협재해수욕장에서 에메랄드빛을 보며 뷰를 즐기는 손님, 가족들과 재밌게 물놀이 후에 저희 가게에서 맛있는 흑돼지를 드시러 오시는 손님, 주변 관광명소를 들리거나 올레길을 거닐며 오시는 손님분들이 오시면 맛집이라는 소리를 들을 수 있도록 정말 맛있게 대접해 드리고 있습니다. 저희 협재해수욕장 맛집 제주홍돈은 손님들에게 정말 정성껏 흑돼지를 구워드리고 있습니다. 흑돼지의 육즙과 부드러움, 그뿐만 아니라 사이드 메뉴들인 된장찌개와 김치찌개도 정말 진하고 깊은 맛이 날 수 있도록 맛있게 조리를 하고 있습니다. 저희가 열명 중 열 명의 손님들 만족시키진 못하겠지만, 열심히 노력하고 있습니다. 수구레해장국 5호점, 제주모창냉동물류가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로3길 10-12"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로3길 10-12"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1590-1"
"대표번호","0507-1376-2259"
"영업시간","12:00 - 23:00"
"휴무일","매주 화요일"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
