"관광타입","음식점"
"음식점명","이큐테이블&마켓"
"개요","1. 이큐 테이블은 캠핑 감성 식당입니다. 이제 고기도 Afternoon Tea를 즐기듯 우아하게 즐기세요. 보자마자 와 하는 3단 트레이의 알찬 구성입니다. 6개월 된 흑돼지의 잊지 못할 진짜 흑돼지 맛입니다. 흑돼지와 소고기 반반 드시고 싶은 분들을 위한 반반 세트도 있어요. 이제 고기도 탁 트인 캠핑 분위기에서 즐겨보세요. 금능 이큐 스테이, 브리타니금능이 인접해 있습니다."
"주소","제주 제주시 한림읍 금능남1길 6-1"
"주소(도로명)","제주특별자치도 제주시 한림읍 금능남1길 6-1"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1258"
"대표번호","064-796-5010"
"영업시간","12:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑돼지 소세지, 돈마호크"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
