"관광타입","음식점"
"음식점명","돌연히,"
"개요","자타 공인 입맛 까다롭기로 유명한 미식가들이 제주 숨은 브런치 맛집으로 손꼽는 곳입니다. 음식 메뉴가 괜찮으면 커피 맛이 부족하고, 커피가 괜찮으면 디저트가 아쉬웠던 곳들을 전전하다가, 처음부터 끝까지 뭐 하나 빠짐없이 만족스러운 공간도 하나쯤 있어야 하지 않을까 싶어, 맛있는 음식에 진심인 미식가 부부가 제주 서쪽 작은 마을 명월에 키친 돌연히를 열었습니다. 돌연히의 음식은 단짠과 같이 자극적인 맛에 익숙한 젊은 세대가 환호하는 것과는 다를 수 있습니다. 마치 평양냉면의 매력같다고나 할까요. 달고 짜고 매운맛에 익숙해진 혀가 돌연히의 음식을 처음 접하면 다소 슴슴하고 생소하게 느껴질지 몰라요. 하지만 가게를 나서면서, 집에 돌아가는 길에, 자려고 누웠을 때, 시간이 지날수록 아까 먹었던 음식 맛에 대한 감탄이 증폭되는 희한한 경험을 하시게 될 겁니다. 첫 모금에 확 몰아치는 맛은 아니나, 먹을수록 은은하면서도 더욱 강렬하게 혀끝에 남는 감칠맛이 신선하게 매력적이거든요. 많은 사람의 사랑을 받는 것도 나쁘지 않겠지만 애초에 이 공간을 만들면서 가졌던 바람은, 내 입에 맛있는 음식을 나와 비슷한 음식 취향을 가진 사람과 나누어 그 즐거움을 공유하고 싶다는 것 오직 하나였지요. 구색 맞추자고 메뉴를 이것저것 넣지 않는 것도, 따로 돈 들여 광고를 하지 않는 것도 모두 같은 이유입니다. 그냥 제가 자신 있게, 이거 참 맛있어요, 함께 드실래요. 할 수 있는 음식만, 저희 음식을 함께 좋아해 주시는 분들에게 정성껏 내고 싶어요. 언제나 이 첫 마음을 잊지 않겠습니다. 푸른달돌집, 찔레꽃남쪽마을이 인접해 있습니다."
"주소","제주 제주시 한림읍 명월로2길 6"
"주소(도로명)","제주특별자치도 제주시 한림읍 명월로2길 6"
"주소(지번주소)","제주특별자치도 제주시 한림읍 명월리 1729-1"
"대표번호","0507-1319-8066"
"영업시간","09:30 - 15:30"
"휴무일","매주 월요일, 화요일"
"취급메뉴","통곡물밥 캐슈넛 샐러드, 통밀빵 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
