"관광타입","음식점"
"음식점명","한림바다생태체험마을"
"개요","싱싱한 고등어회, 갈치회, 우럭조림 등을 한상 차림으로 푸짐하게 드실 수 있으며, 관광객뿐만 아니라 현지인 분들도 많이 찾는 맛집입니다. 문재인 대통령님도 2번이나 방문했을 정도로 제주도에서는 유명한 집이며 가격 대비 싱싱하고 푸짐한 양으로 찾으시는 분들 모두 만족하실 수 있게 노력하겠습니다. 한수어촌계, 제주해양경찰서한림파출소가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림해안로 200"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림해안로 200"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한수리 879-30"
"대표번호","064-796-1817"
"영업시간","10:00 - 21:30"
"휴무일","매주 수요일"
"취급메뉴","고등어회, 우럭조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 주차하기 편해요, 친절해요, 가성비가 좋아요"
