"관광타입","음식점"
"음식점명","한입김밥"
"개요","제주시 한림읍 동명리에 위치한 작은 김밥 전문점 한입김밥입니다. 1990년도부터 만들어진 한입김밥은 새콤한 맛이 특징 입니다. 마약김밥, 충무김밥 등과는 전혀 다른 고유한 맛으로 오직 제주도에서만 만나 볼 수 있는 김밥입니다. 누구도 흉내 낼 수 없는 깔끔하고 독특한 맛의 한입김밥을 제주도 여행 중 꼭 맛보시길 권해드립니다. 감사합니다. 동명리공간, 광화상회가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림중앙로 56"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림중앙로 56"
"주소(지번주소)","제주특별자치도 제주시 한림읍 동명리 1591-4"
"대표번호","064-796-7797"
"영업시간","07:00 - 20:30"
"휴무일","매주 토요일"
"취급메뉴","떡볶이, 큰김밥"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 혼밥하기 좋아요, 가성비가 좋아요"
