"관광타입","음식점"
"음식점명","대금식당"
"개요","저희 대금식당은 제주도 제주시 한림읍 옹포리에 위치해 있으며 업소 앞에 푸른 바다가 눈앞에 펼쳐져 있고 천년 역사가 있는 비양도 섬이 자리하고 있습니다. 싱싱한 제주산 은갈치의 맛을 드리고자 정성을 다하여 손님을 모시고 있습니다. 저희 업소는 육지에서 관광 오신 분들도 많이 찾아주시고 있으며 맛있는 음식을 드시고 가실 수 있도록 노력하고 있습니다. 저희 업소를 찾아주시면 정성을 다하여 모시겠습니다. 감사합니다. 부르노하우스, 나의첫단추가 인접해 있습니다."
"주소","제주 제주시 한림읍 옹포1길 6"
"주소(도로명)","제주특별자치도 제주시 한림읍 옹포1길 6"
"주소(지번주소)","제주특별자치도 제주시 한림읍 옹포리 586-2"
"대표번호","0507-1403-7751"
"영업시간","11:40 - 19:00"
"휴무일","없음"
"취급메뉴","갈치조림, 옥돔구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 뷰가 좋아요, 친절해요"
