"관광타입","음식점"
"음식점명","제주도모퉁이스낵연회장"
"개요","모퉁이스낵은 제주도 프리미엄 흑돼지 떡볶이, 딱새우 떡볶이, 수제튀김 전문 분식 펍이랍니다. 제주도 서쪽 모퉁이 귀덕에 위치하고 있습니다. 종전 제주도 동쪽 성산일출봉 아래 모퉁이스낵 운영 후 서쪽으로 이전 운영 중에 있습니다. 제주도는 시내를 제외하고는 늦은 시간에 드실만한 곳이 많이 없어요. 거의 7에서 8시면 쫑입니다. 간단히 맛있게 즐기실 수 있는 분위기로 준비했습니다. 배달의민족 또는 요기요로 배달도 가능합니다. 새벽 2시까지 영업하오니 야식, 분식, 밀떡볶이가 생각나신다면 주문 주세요. 저희 매장은 심야 분식 펍으로 운영됩니다. 분위기는 80년대와 어우러지는 레트로풍이에요. 국내산 고춧가루를 이용한 수제 양념으로 만든 매운밀 떡볶이와 파삭한 수제튀김이 주메뉴예요. 테이크아웃도 가능하오니 여행 중에 제주도 서쪽 놀러 오시면 방문 주세요. 주문 후 조리 시간은 최소 20분 소요되오니 포장 주문은 미리 전화 주시면 바로 찾아가실 수 있습니다. 스카이호텔, 더윈썸이 인접해 있습니다."
"주소","제주 제주시 한림읍 일주서로 5673"
"주소(도로명)","제주특별자치도 제주시 한림읍 일주서로 5673"
"주소(지번주소)","제주특별자치도 제주시 한림읍 귀덕리 3769"
"대표번호","0507-1312-9756"
"영업시간","15:00 - 02:00"
"휴무일","없음"
"취급메뉴","모퉁이국물떡볶이, 연회장튀김"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 양이 많아요, 재료가 신선해요"
