"관광타입","음식점"
"음식점명","근쌀남"
"개요","요리를 시작하면서부터 면과 육수에 집중해 공부하며 배웠습니다. 베트남 전문점과 평양냉면 전문에서 일을 하며 많은 경험을 토대로 육수를 만들고, 수제튀김, 볶음에 쓰이는 기름도 천연 열매를 이용하여 요리합니다. 찾아주신 손님 여러분들에게 아주 근사한 쌀국수가 되길 희망합니다. 제주도에서 뭐 쌀국수냐 할 수도 있지만 제주에서 아주 근사한 쌀국수를 경험해 보세요. 이 골목까지 찾아와주신 손님분들에게 실망시키지 않게 서비스하고 노력하겠습니다. 지브로, 귀덕2리사무소가 인접해 있습니다."
"주소","제주 제주시 한림읍 귀덕5길 33"
"주소(도로명)","제주특별자치도 제주시 한림읍 귀덕5길 33"
"주소(지번주소)","제주특별자치도 제주시 한림읍 귀덕리 4043"
"대표번호","0507-1491-2016"
"영업시간","11:00 - 16:00"
"휴무일","매주 월요일"
"취급메뉴","근쌀남팟타이, 짜조"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 혼밥하기 좋아요, 친절해요, 재료가 신선해요, 양이 많아요"
