"관광타입","음식점"
"음식점명","봉덕뜨락"
"개요","안녕하세요. 봉덕뜨락입니다. 여러분들의 많은 사랑 덕분에 저희는 2019년 11월 12일부로 확장 이전을 하게 되었습니다. 대표 메뉴 수제 양장피, 마라 새우, 팔보채, 백년초 탕수육, 들깨 삼선 짬뽕, 보말 삼선 짬뽕, 매운 흑돼지 삼선 간짜장 등과 가성비 좋은 중식 코스 요리들이 있습니다. 찾아 주셔서 감사합니다. 정성을 다해 요리하겠습니다. 제주바다전복, 한림바다목장이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 121-3"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 121-3"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1898"
"대표번호","0507-1342-6635"
"영업시간","11:30 - 21:00"
"휴무일","매주 수요일"
"취급메뉴","양장피, 마라새우"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 재료가 신선해요, 양이 많아요"
