"관광타입","음식점"
"음식점명","탐나쑥빵"
"개요","구 신촌 쑥 빵 전문점 오빵구이가 한림으로 이전하여 탐나쑥빵으로 상호가 변경되었습니다. 변함없는 맛으로 지금까지 믿음에 보답하겠습니다. 손으로 하나하나 만드는지라 하루 만들 수 있는 빵이 넉넉지 않아서  주문 시 하루 전에 예약 부탁드려요. 조기 매진 될  있으므로 오시기 전에 전화로 확인해 주시는 센스입니다. 한림족발, 선우하우스가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림상로 221"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림상로 221"
"주소(지번주소)","제주특별자치도 제주시 한림읍 대림리 1789-9"
"대표번호","0507-1315-5092"
"영업시간","08:30 - 12:30/17:30"
"휴무일","매주 일요일"
"취급메뉴","쑥빵, 찰보리빵"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 매장이 청결해요"
