"관광타입","음식점"
"음식점명","금능상회 해물라면"
"개요","최근 불안정한 국제 정세로 인한 원자재 가격 상승으로 인해 불가피하게 가격 인상하게 되었습니다. 저희는 조용하고 감성적인 느낌의 해물라면, 해물 덮밥 전문점입니다. 비양도 배경의 바다와 한라산 백록담 뷰가 아름다운 감성 맛집으로 수많은 인스타와 블로거들의 추천 맛집으로도 소개되었습니다. 영업 시작 전 모든 해산물 및 육수를 하루 50인분만 준비하고 당일 판매를 원칙으로 합니다. 항상 신선하고 좋은 재료만을 사용하기 위해 하루 50인분만 준비하오니 신선도 걱정은 하지 않으셔도 됩니다. 깔끔한 인테리어와 야외 테라스에서는 금능해변과 비양도, 한라산 뷰가 멋지며 붉은 석양 또한 이쁩니다. 웨스트 보미다, 묵묵한 다정이 인접해 있습니다."
"주소","제주 제주시 한림읍 금능5길 21"
"주소(도로명)","제주특별자치도 제주시 한림읍 금능5길 21"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1500"
"대표번호","0507-1343-2678"
"영업시간","10:30 - 16:00/18:30"
"휴무일","매주 일요일"
"취급메뉴","해물라면, 문어라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 특별한 메뉴가 있어요"
