"관광타입","음식점"
"음식점명","오데뜨"
"개요","육지에서 애견훈련사 및 애견 동반 가든 술집과 애견카페를 운영하던 부부가 제주도에 입도하여 직접 인테리어하고 아내에게 해주던 음식을 정성스럽게 오시는 한 분 한 분에게 전해드리고 싶습니다. 반려견을 사랑하는 마음으로 애견 동반 식당 이용이 가능합니다. 식당의 경우 애견 동반이 가능하나 실내, 외 아이들의 목줄은 필수입니다. 반려견의 경우 실내가 협소한 관계로 죄송하지만 10kg 미만의 아이들만 입장할 수 있으며 주인장의 판단에 따라 입장이 불가할 경우가 있습니다. 제주도에서 처음 선보이는 전복 크림 우동 등 색다른 음식과 미국, 영국 빈티지 소품들로 인테리어되어 방문하시는 분들에게 소중한 기억을 선물하겠습니다. 벤조롱달빛정원, 아자가 인접해 있습니다."
"주소","제주 제주시 한림읍 중산간서로 4995-6"
"주소(도로명)","제주특별자치도 제주시 한림읍 중산간서로 4995-6"
"주소(지번주소)","제주특별자치도 제주시 한림읍 상대리 2887"
"대표번호","064-799-2748"
"영업시간","12:00 - 20:00"
"휴무일","매주 월요일"
"취급메뉴","전복삼합, 흑돼지안심스테이크"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요"
