"관광타입","음식점"
"음식점명","만민식당"
"개요","성게알, 전복, 게, 새우, 홍합, 문어 등 다양한 해산물과 콩나물, 미나리, 버섯 등의 야채를 넣고 시원하게 끓여 내는 해물 전골과 제주 앞바다에서 잡아올린 알이 굵은 은갈치를 감자, 무와 함께 조려낸 갈치조림이 인기 메뉴입니다. 그 외에도 전복 뚝배기, 간장게장, 옥돔구이 등 다양한 해산물 요리가 준비되어 있습니다. 게으른오후, 문수동입구가 인접해 있습니다."
"주소","제주 제주시 한림읍 중산간서로 4618-1"
"주소(도로명)","제주특별자치도 제주시 한림읍 중산간서로 4618-1"
"주소(지번주소)","제주특별자치도 제주시 한림읍 동명리 138-3"
"대표번호","064-796-4473"
"영업시간","10:00 - 20:00/21:00"
"휴무일","매주 월요일"
"취급메뉴","갈치조림, 해물탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 양이 많아요"
