"관광타입","음식점"
"음식점명","뚜비뚜밥 애월점"
"개요","하루 한정 판매합니다. 제주 애월 초입에 위치한 아침 식사로 하기에 부담 없는 애월 뚜비뚜밥입니다. 살아있는 신선한 전복 내장으로 직접 만든 비법 소스로 만든 전복 덮밥, 문어 덮밥, 흑돼지 덮밥, 푸짐한 해산물이 들어간 해물탕 라면입니다. 애월을 대표하는 밥 집으로 착한 식당이 되도록 하겠습니다. 애월1840, 애월 고깃간이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 29"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 29"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 1840-1"
"대표번호","0507-1474-2772"
"영업시간","10:00 - 18:00"
"휴무일","매주 화요일"
"취급메뉴","문어 덮밥, 흑돼지 덮밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
