"관광타입","음식점"
"음식점명","코시롱"
"개요","제주도 애월 맛집 참나무 흑돼지구이 전문점 코시롱은 도축한 지 3일 후 가장 맛있는 상태에서 허브로 숙성하여 참나무 향이 은은하게 나는 초벌구이 상태로 제공합니다. 커다란 야자수 나무들이 이국적인 분위기를 연출해 주는 애월의 붉게 물드는 석양을 바라보며 특급 호텔 셰프의 품격 높은 요리를 즐겨보세요. 제주 흑돼지 외에도 제주산 딱새우회와 전복, 문어를 맛보실 수 있습니다. 맛있게 식사를 다 하셨다면, 새우와 전복, 꽃게 등 다양한 해산물이 들어간 얼큰하고 시원한 해물라면이나 감칠맛 나는 제주산 백년초 냉면으로 마무리하시면 됩니다. 식사가 끝나고 자리가 길어진다면 아름답게 저무는 노을을 보면서 지중해식으로 요리한 깔라마리 오징어와 새우튀김에 시원한 맥주 한 잔도 일품이죠. 멋진 오션 뷰, 노을 풍경이 멋진 애월 맛집 코시롱에서 가족끼리, 친구끼리, 연인끼리 제주 애월에서 잊지 못할 추억을 만들어보세요. 애월유니호텔 전기차충전소, 제주애락이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 656"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 656"
"주소(지번주소)","제주특별자치도 제주시 애월읍 구엄리 1216"
"대표번호","0507-1360-5051"
"영업시간","17:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑돼지, 딱새우회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 뷰가 좋아요, 친절해요, 인테리어가 멋져요"
