"관광타입","음식점"
"음식점명","어사촌도야지"
"개요","제주도민이 더 많이 찾는 흑돼지 전문점입니다. 옆에 위치한 축산물 공판장의 고기를 사용합니다. 고기 가격도 비싸지 않고, 고기도 신선합니다. 제주에서는 돼지고기를 멸치젓에 찍어 먹는데, 이 집의 멸치젓에는 멸치 한 마리가 통째로 들어가 있습니다. 한 가지 단점은 주변이 너무 어두워, 저녁에는 찾기 어렵다는 점입니다. 장촌한우마을, 도치돌한우숯불이 인접해 있습니다."
"주소","제주 제주시 애월읍 천덕로 440-6"
"주소(도로명)","제주특별자치도 제주시 애월읍 천덕로 440-6"
"주소(지번주소)","제주특별자치도 제주시 애월읍 어음리 2473-4"
"대표번호","0507-1463-5569"
"영업시간","09:00 - 20:30"
"휴무일","없음"
"취급메뉴","오겹살, 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 재료가 신선해요, 가성비가 좋아요"
