"관광타입","음식점"
"음식점명","제주화연이네식당"
"개요","since 1996 애월항 근처 조그만 해안 마을에 위치한 화연이네는 눈여겨보지 않으면 놓치고 지나갈 듯 작고 평범한 외형의 식당입니다. 특별하게 자랑할 만한 메뉴는 없지만 그래서인지 인근 마을 사람들에게 더 인기 있지요. 오래된 양은 냄비에 차려 나오는 생선조림에는 묵은지나 파김치가 들어가 여느 향토 음식점과 다른 특유의 맛을 느낄 수 있답니다. 저렴한 가격에 즐길 수 있는 생선구이 요리도 인기입니다. 제주화연이네펜션, 고불락게스트하우스가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 224"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 224"
"주소(지번주소)","제주특별자치도 제주시 애월읍 고내리 1166"
"대표번호","064-799-7551"
"영업시간","08:30 - 15:00"
"휴무일","매주 화요일"
"취급메뉴","갈치조림, 고등어조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 혼밥하기 좋아요"
