"관광타입","음식점"
"음식점명","숙이네보리빵"
"개요","허인숙 사장님의 이름을 따 인숙이네 보리빵으로 시작하였으나 간판에 인자가 떨어져 숙이네 보리빵으로 알려지게 되었다는 애월의 보리빵 전문점입니다. 2미터 남짓 좁은 인도에 자리한 버스정류장 때문에 간판이 잘 보이지 않아 찾기 어려울 수도 있습니다. 준비한 빵이 떨어지면 영업을 마치기 때문에 조금 늦은 시간에 방문하게 된다면 미리 전화를 해보세요. 거양미용실, 미광사가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월로 118"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월로 118"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 1584-1"
"대표번호","064-799-1777"
"영업시간","08:00/09:00 - 18:00"
"휴무일","매주 화요일"
"취급메뉴","보리빵, 보리팥빵"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 가성비가 좋아요, 매장이 청결해요"
