"관광타입","음식점"
"음식점명","시루애월"
"개요","애월의 아름다운 세 마을 소길리, 유수암리, 장전리 가운데 위치에 있으며 제주 저온 창고를 리모델링한 엔틱 빈티지 분위기의 레스토랑 카페입니다. 옛 추억 속 시루떡 만들어주시던 어머니의 따뜻한 온기를 브런치와 음료에 정성껏 담아 찾아주시는 손님들께 나누고픈 예쁜 여주인장의 마음을 담은 시루애월입니다. 시루 브런치의 멋과 애월 브런치의 맛, 그리고 주인장의 친절이 항상 가득한 곳입니다. 오셔서 함께 행복해져요. 스테이 아이, 제니스카운티유수암리가 인접해 있습니다."
"주소","제주 제주시 애월읍 하소로 449"
"주소(도로명)","제주특별자치도 제주시 애월읍 하소로 449"
"주소(지번주소)","제주특별자치도 제주시 애월읍 장전리 634-1"
"대표번호","064-799-0449"
"영업시간","08:30 - 17:00"
"휴무일","매주 목요일"
"취급메뉴","까르보나라, 아메리카노"
"주차시설 유무","있음"
"리뷰키워드","인테리어가 멋져요, 음식이 맛있어요, 친절해요, 매장이 넓어요, 뷰가 좋아요"
