"관광타입","음식점"
"음식점명","녹근로33"
"개요","돈까스와 국수를 함께 즐길 수 있는 녹근로33입니다. 네덜란드산 고다치즈를 활용한 라클렛돈까스, 제주산 흑돼지 안심으로 만든 돈까스를 부드러운 치즈와 함께 드실 수 있어요. 영업시간 확인하시고 방문 인스타 최근 게시물 공지요. 고기 국수와 비빔국수도 별미입니다. 아이들도 좋아하는 메뉴라서 가족 식사하기 좋은 녹근로33입니다. 바로 옆 가게와 혼동이 될 수 있습니다. 새별식당, 노지감귤하우스가 인접해 있습니다."
"주소","제주 제주시 애월읍 녹근로 33"
"주소(도로명)","제주특별자치도 제주시 애월읍 녹근로 33"
"주소(지번주소)","제주특별자치도 제주시 애월읍 봉성리 3228-2"
"대표번호","064-799-3340"
"영업시간","11:00 - 21:00"
"휴무일","매주 수요일"
"취급메뉴","라클렛돈까스, 고기국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 양이 많아요"
