"관광타입","음식점"
"음식점명","하르방밀면 애월점"
"개요","하르방밀면 제주 메밀 전문점 오픈했습니다. 저희 하르방밀면에서 맛있고 건강까지 챙기실 수 있는 메밀 전문점을 오픈하였습니다. 100퍼센트 제주산 순메밀을 사용, 반찬부터 육수까지 정성과 사랑으로 저희가 직접 만들어 대접해 드립니다. 물메밀면은 다대기가 따로 들어가지 않아 메밀면 자체의 고소함과 육수의 깊은 맛을 느끼실 수 있습니다. 비빔메밀면은 저희 특제 양념소스를 사용하여 매콤 새콤하게 만들었습니다. 기호에 맞게 육수를 살짝 넣어 드셔도 아주 좋습니다. 제주감성홀릭, 쌍교숯불갈비 애월 하귀점이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 890"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 890"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하귀2리 2723-4"
"대표번호","0507-1313-5802"
"영업시간","09:00 - 18:00"
"휴무일","매주 월요일"
"취급메뉴","들기름막국수, 보말칼국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 재료가 신선해요, 주차하기 편해요"
