"관광타입","음식점"
"음식점명","애월리순메밀막국수"
"개요","순메밀 100퍼센트를 의심하신다면 첨가물이 있을 시 1억 원을 보상해 드리겠습니다. 전국 최고의 메밀 생산지인 제주에서조차 순메밀 국수를 알지도 먹어보지도 못 했던 분들을 위해 적은 마진이지만 더 많은 손님을 모시기 위해 착한 가격으로 준비했습니다. 혼합 면의 비해 쫄깃함은 다소 덜할지 모르지만 구수한 메밀의 향과 부드러운 목 넘김은 장담합니다. 글루텐이 첨가되지 않아 소화가 잘되고 자꾸만 생각나는 순메밀의 매력을 느끼시리라 생각 듭니다. 메밀 본연의 맛을 위해 양념 맛을 자제하고, 순수 고기 육수로 맛을 더 하였습니다. 무료주차장, 애월길로가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 11"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 11"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 2052"
"대표번호","064-799-4589"
"영업시간","10:00 - 20:00"
"휴무일","없음"
"취급메뉴","물막국수, 평양냉면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 주차하기 편해요, 친절해요, 양이 많아요"
