"관광타입","음식점"
"음식점명","남또리횟집"
"개요","제주도에서 경관이 수려해 드라이브 코스로 각광받고 있는 애월 해안 도로 아담한 신엄 포구 앞에 위치해 있는 횟집입니다. 바닷가 바로 앞에 위치해 있어 넓은 통유리를 통해 바다를 바라보며 싱싱한 회를 드실 수 있습니다. 깨끗한 분위기와  정갈한 음식 그리고 친절한 서비스가 저희 집의 자랑입니다. 한번 와 보시면 절대 후회 없으실 것입니다. 남또리별장, 스타벅스가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 384"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 384"
"주소(지번주소)","제주특별자치도 제주시 애월읍 고내리 337"
"대표번호","064-799-1711"
"영업시간","12:00/13:00 - 22:30"
"휴무일","전화문의"
"취급메뉴","광어회, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 양이 많아요"
