"관광타입","음식점"
"음식점명","사는맛먹는맛"
"개요","흔하지만 흔하지 않는 맛, 어디에도 없는 메뉴입니다. 사장 강추 메뉴 스파게티야 탕이야 먹어보면 단골 되는 해토탕입니다. 제주 바다 오션 뷰와 애월 해안 도로를 보며 혼밥 또는 연인 앤 가족 그리고 친구와 함께 모두 올 수 있는 곳입니다. 누구나 만족할 수 있도록 항상 준비하고 기도하는 사는맛 먹는맛입니다. 가게 앞에는 바다가 보이는 야외 테이블도 있으며 노을 저녁 뷰가 끝내줍니다. 바로 앞 도보 5분 시 뷰 좋은 해안 산책로가 있으며 잊지 않고 와주시는 단골분들 사랑해 주셔서 감사드리고 매일 손님 입장에서 생각하고 노력하는 식당이 되겠습니다. 버닝레스트팬션 민박, 천해올래농수산이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 852"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 852"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하귀2리 2837-7"
"대표번호","0507-1418-3595"
"영업시간","10:00 - 20:00"
"휴무일","매주 일요일"
"취급메뉴","돈까스, 해토 라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 매장이 청결해요, 특별한 메뉴가 있어요"
