"관광타입","음식점"
"음식점명","잇칸시타"
"개요","오전 11시부터 늦은 밤 9시까지 영업하며 오후 3시 주문 마감, 오후 3시 30분에서 오후 5시 브레이크 타임입니다. 식사와 요리 술이 함께 하는 일본 가정식 전문점입니다. 기본 상차림으로 차돌 숙주볶음, 흑돼지 등심돈카치, 냉소바, 미소드레싱생언구이와 유자 절임배추 참깨 드레싱 두부, 창란젓갈, 버섯 절임이 기본 찬으로 나갑니다. 제주도민 분들이 많이 찾아주시는 로컬 맛집입니다. 퀸스베이, 대섭공원이 인접해 있습니다."
"주소","제주 제주시 애월읍 신엄안2길 54-1"
"주소(도로명)","제주특별자치도 제주시 애월읍 신엄안2길 54-1"
"주소(지번주소)","제주특별자치도 제주시 애월읍 신엄리 950"
"대표번호","064-713-5450"
"영업시간","11:00 - 21:00"
"휴무일","없음"
"취급메뉴","치킨데리야키, 생선구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요"
